Genes,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
CBM50,0,0,0,0,0,0,0,0.8,1,1,1.428571429,0,0,0,0,0,0,0,0,0
CBM50|GH23,0,0,0,0,0,0,0,0.88,0.125,1,0,0,0,0,0,0,0,0,0,0
GH1|GH95,0.962025316,0.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH100,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976190476,1,0.5,0,0,0,0
GH13_30,0,0,0,0,0,0,0,0.8,1,1,0.857142857,0,0,0,0,0,0,0,0,0
GH23,0,0,0,0,0,0,0,0,0.625,0,0.285714286,1,0,0.023809524,0,0,1,1,0,0
GH24,0,0,0,0,0,0,0,0,0,0,0,0,1,0.976190476,0.777777778,0.5,0,1,0.5,1
GH58,0,0,0,0,0,0,0,1,1,1,0.857142857,0,0,0,0,0,0,0,0,0
GH73,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0
GT1,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GT2,0.037974684,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.065934066,0,0,0
GT4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
