Prophage,Africa,Europe,South America,North America,Asia,Oceania
Ralstonia phage Rs551,0.310344828,0.415730337,0.115384615,0.035714286,0.142857143,0.133333333
Ralstonia phage RSM3,0,0.033707865,0.038461538,0,0.031746032,0
Unclassified B,0,0,0,0,0.015873016,0
Ralstonia phage RSS1,0,0,0,0.071428571,0.031746032,0
Ralstonia phage RSS30,0,0,0.038461538,0.035714286,0.015873016,0.066666667
Ralstonia phage RSS-TH1,0,0,0,0,0.031746032,0
Ralstonia phage PE226,0,0,0,0,0.031746032,0.066666667
Ralstonia phage phiRSA1,0.126436782,0.033707865,0.038461538,0.071428571,0.079365079,0.2
Ralstonia phage RsoM1USA,0,0,0.076923077,0.178571429,0.015873016,0
Ralstonia phage RSY1,0,0,0,0.035714286,0.015873016,0.066666667
Unclassified D,0,0,0.038461538,0.178571429,0.015873016,0
Ralstonia phage RS138,0,0,0.076923077,0,0.015873016,0
Unclassified G,0,0,0,0,0.015873016,0
Ralstonia phage Dina,0.126436782,0.033707865,0.307692308,0.142857143,0.174603175,0.333333333
Unclassified C,0.08045977,0,0.115384615,0.142857143,0.047619048,0
Unclassified H,0,0,0,0.035714286,0.015873016,0
Unclassified A,0.344827586,0.460674157,0.153846154,0.035714286,0.206349206,0.133333333
Unclassified F,0.011494253,0,0,0,0.079365079,0
Unclassified I,0,0.02247191,0,0,0,0
Unclassified J,0,0,0,0.035714286,0.015873016,0
