"","YO014","YO015","YO016","YO033","YO039","YO041","YO043","YO077","YO088","YO098","YO111","YO134","YO142","YO168","YO169","YO188","YO189","YO190","YO192","YO372","YO374","YO381"
"YO014",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO015",1,0,0,0.333333333333333,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YO016",1,0,0,0.333333333333333,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YO033",1,0.333333333333333,0.333333333333333,0,1,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YO039",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO041",1,0,0,0.333333333333333,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YO043",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO077",1,1,1,1,1,1,1,0,1,1,1,0.333333333333333,1,1,1,0,1,1,1,1,0.5,1
"YO088",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"YO098",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"YO111",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO134",1,1,1,1,1,1,1,0.333333333333333,1,1,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0.2,1
"YO142",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO168",1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0,0,1,1,0,0,1,0.5,1
"YO169",1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0,0,1,1,0,0,1,0.5,1
"YO188",1,1,1,1,1,1,1,0,1,1,1,0.333333333333333,1,1,1,0,1,1,1,1,0.5,1
"YO189",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO190",1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0,0,1,1,0,0,1,0.5,1
"YO192",1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0,0,1,1,0,0,1,0.5,1
"YO372",0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
"YO374",1,1,1,1,1,1,1,0.5,1,1,1,0.2,1,0.5,0.5,0.5,1,0.5,0.5,1,0,1
"YO381",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
