Prophage,Cluster,I,IIA,IIB,III,IV
Ralstonia phage Rs551,B,0,0,0.791666667,0,0
Ralstonia phage RSM3,B,0.089285714,0,0.010416667,0,0
Unclassified B,B,0,0,0.010416667,0,0
Ralstonia phage RSS1,E,0.071428571,0,0,0,0
Ralstonia phage RSS30,E,0.071428571,0,0,0,0
Ralstonia phage RSS-TH1,E,0.035714286,0,0,0,0
Ralstonia phage PE226,E,0.053571429,0,0,0,0
Ralstonia phage phiRSA1,D,0.428571429,0,0.010416667,0,0
Ralstonia phage RsoM1USA,D,0,0.181818182,0.041666667,0,0
Ralstonia phage RSY1,D,0.053571429,0,0,0,0
Unclassified D,D,0.089285714,0,0.020833333,0,0
Ralstonia phage RS138,G,0,0.136363636,0,0,0
Unclassified G,G,0.017857143,0,0,0,0
Ralstonia phage Dina,C,0.535714286,0.272727273,0,0,0.6
Unclassified C,C,0.071428571,0.181818182,0.0625,0.375,0.1
Unclassified H,H,0.017857143,0,0,0,0.1
Unclassified A,A,0,0.045454545,0.833333333,0.375,0.4
Unclassified F,F,0.017857143,0,0,0.125,0.4
Unclassified I,I,0.035714286,0,0,0,0
Unclassified J,J,0,0.045454545,0,0,0.1
