Strain,Phylotype,Intact,Incomplete
YO001,III,0,4
YO002,IIB,2,0
YO003,I,1,2
YO004,IIB,2,0
YO005,I,1,1
YO006,I,2,2
YO007,I,1,1
YO008,IIB,2,0
YO009,I,3,1
YO010,IIB,3,0
YO011,IIB,2,0
YO012,IIB,2,0
YO013,IIB,2,1
YO014,IIA,0,5
YO015,IIA,1,5
YO016,IIA,1,5
YO017,IIB,2,1
YO018,I,1,4
YO019,IIB,2,1
YO020,I,1,4
YO021,I,1,4
YO022,IIB,0,2
YO023,I,1,2
YO024,I,0,2
YO025,I,2,3
YO026,IIB,1,1
YO027,I,1,4
YO028,I,1,1
YO029,I,3,2
YO030,I,0,2
YO031,IIB,0,2
YO032,IIB,1,1
YO033,IIA,2,0
YO034,I,1,1
YO035,IIB,2,2
YO036,IIB,2,2
YO037,I,1,1
YO038,I,1,1
YO039,IIA,0,1
YO040,I,2,2
YO041,IIA,1,0
YO042,I,0,1
YO043,IIA,0,1
YO044,IIB,2,0
YO045,IIB,2,0
YO046,IIB,2,0
YO047,IIB,2,0
YO048,IIB,2,0
YO050,IIB,2,0
YO051,IIB,2,0
YO052,IIB,2,0
YO053,IIB,2,0
YO054,IIB,2,0
YO060,IIB,2,0
YO062,IIB,2,0
YO063,IIB,2,0
YO064,IIB,2,0
YO065,IIB,2,0
YO068,IIB,2,0
YO069,IIB,2,0
YO070,IIB,2,0
YO071,IIB,2,0
YO072,IIB,2,0
YO073,IIB,2,0
YO074,I,1,3
YO075,I,1,1
YO076,III,0,3
YO077,IIA,1,1
YO079,I,3,1
YO080,I,1,5
YO082,III,1,2
YO084,I,3,2
YO085,IIB,2,0
YO086,IIB,2,0
YO087,IIB,2,0
YO088,IIA,1,4
YO089,IIB,2,0
YO090,IIB,2,0
YO091,IIB,2,0
YO092,IIB,2,0
YO093,IIB,2,0
YO094,IIB,2,0
YO095,IIB,2,0
YO096,IIB,2,1
YO097,IIB,2,1
YO098,IIA,1,4
YO100,IV,0,1
YO101,I,2,1
YO102,IV,3,4
YO103,IV,4,6
YO104,IV,1,2
YO105,IV,2,2
YO106,IV,3,3
YO107,IV,3,1
YO108,IV,2,1
YO109,IV,0,2
YO110,IV,0,4
YO111,IIA,0,1
YO112,IIB,2,0
YO113,IIB,2,0
YO114,IIB,2,0
YO115,IIB,2,0
YO116,IIB,2,0
YO117,IIB,2,0
YO120,IIB,2,0
YO121,IIB,2,0
YO122,I,3,1
YO123,IIB,2,0
YO124,I,2,1
YO125,IIB,2,0
YO126,IIB,2,1
YO127,IIB,2,0
YO128,III,1,0
YO129,IIB,2,0
YO130,I,0,2
YO131,I,1,7
YO132,IIB,2,0
YO133,I,0,1
YO134,IIA,2,1
YO135,I,3,1
YO136,I,2,1
YO137,I,2,1
YO138,I,2,1
YO139,I,2,1
YO140,I,2,1
YO141,I,2,1
YO142,IIA,0,2
YO143,IIB,2,0
YO144,IIB,2,0
YO145,III,0,6
YO146,IIB,2,0
YO147,IIB,2,0
YO148,IIB,2,0
YO149,I,1,2
YO150,I,2,2
YO151,I,1,1
YO152,IIB,1,1
YO153,IIB,0,2
YO154,I,2,4
YO155,I,1,1
YO156,I,1,4
YO157,IIB,0,4
YO158,IIB,1,0
YO159,IIB,2,2
YO160,IIB,2,2
YO161,I,2,2
YO162,IIB,1,0
YO163,I,4,0
YO164,I,4,0
YO165,IIB,2,0
YO166,IIB,2,0
YO167,IIB,2,0
YO168,IIA,1,0
YO169,IIA,1,2
YO170,IIB,2,0
YO171,IIB,2,0
YO173,IIB,2,0
YO174,IIB,2,0
YO175,IIB,1,0
YO176,IIB,2,0
YO177,IIB,2,0
YO178,I,3,2
YO180,IIB,1,0
YO181,IIB,2,0
YO182,I,1,1
YO183,IIB,2,0
YO184,IIB,2,0
YO185,IIB,2,0
YO187,I,3,1
YO188,IIA,1,1
YO189,IIA,0,4
YO190,IIA,1,0
YO191,I,1,4
YO192,IIA,1,2
YO194,I,3,1
YO199.nanopore,IIB,2,1
YO204.nanopore,IIB,2,1
YO352.nanopore,IIB,2,1
YO356,IIB,2,0
YO357,IIB,2,0
YO359,IIB,2,0
YO372,IIA,0,1
YO374,IIA,3,0
YO375,I,3,3
YO376,I,2,4
YO378,I,2,2
YO379,I,0,2
YO380,IIB,2,0
YO381,IIA,1,2
YO382,III,2,1
YO383,III,2,1
YO384,III,1,0
