Phylotype,Phage_hits
I,Ralstonia phage RSM3
I,Ralstonia phage RSM3
I,Ralstonia phage RSM3
I,Ralstonia phage RSM3
I,Ralstonia phage RSM3
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Unclassified C
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Unclassified C
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Unclassified C
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Ralstonia phage Dina
I,Unclassified C
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage RSY1
I,Ralstonia phage phiRSA1
I,Unclassified D
I,Unclassified D
I,Unclassified D
I,Ralstonia phage phiRSA1
I,Ralstonia phage RSY1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Unclassified D
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Ralstonia phage phiRSA1
I,Unclassified D
I,Ralstonia phage RSY1
I,Ralstonia phage phiRSA1
I,Ralstonia phage RSS30
I,Ralstonia phage PE226
I,Ralstonia phage PE226
I,Ralstonia phage RSS1
I,Ralstonia phage PE226
I,Ralstonia phage RSS30
I,Ralstonia phage RSS1
I,Ralstonia phage RSS30
I,Ralstonia phage RSS1
I,Ralstonia phage RSS-TH1
I,Ralstonia phage RSS-TH1
I,Ralstonia phage RSS30
I,Ralstonia phage RSS1
I,Unclassified F
I,Unclassified G
I,Unclassified H
I,Unclassified I
I,Unclassified I
IIA,Unclassified A
IIA,Unclassified C
IIA,Unclassified C
IIA,Unclassified C
IIA,Unclassified C
IIA,Ralstonia phage Dina
IIA,Ralstonia phage Dina
IIA,Ralstonia phage Dina
IIA,Ralstonia phage Dina
IIA,Ralstonia phage Dina
IIA,Ralstonia phage Dina
IIA,Ralstonia phage RsoM1USA
IIA,Ralstonia phage RsoM1USA
IIA,Ralstonia phage RsoM1USA
IIA,Ralstonia phage RsoM1USA
IIA,Ralstonia phage RS138
IIA,Ralstonia phage RS138
IIA,Ralstonia phage RS138
IIA,Unclassified J
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
