Isolate,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
YO097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
