Isolate,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
YO097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO352.nanopore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
